time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,2,sell,45,37,0.0
1,2,sell,24,37,0.0
1,1,repair,29,38,0.0
1,1,repair,4,38,0.0
1,1,repair,24,38,0.0
1,1,repair,5,38,0.0
1,1,repair,42,38,0.0
1,1,repair,6,38,0.0
1,1,repair,12,38,0.0
1,1,repair,37,38,0.0
1,1,repair,48,38,0.0
1,1,repair,41,38,0.0
1,0,vacant,29,38,0.0
1,0,vacant,4,38,0.0
1,0,vacant,24,38,0.0
1,0,vacant,5,38,0.0
1,0,vacant,42,38,0.0
1,0,vacant,6,38,0.0
1,0,vacant,12,38,0.0
1,0,vacant,37,38,0.0
1,0,vacant,48,38,0.0
1,0,vacant,41,38,0.0
1,2,sell,29,38,0.0
1,2,sell,4,38,0.0
1,2,sell,24,38,0.0
1,2,sell,5,38,0.0
1,2,sell,42,38,0.0
1,2,sell,6,38,0.0
1,2,sell,12,38,0.0
1,2,sell,37,38,0.0
1,2,sell,48,38,0.0
1,2,sell,41,38,0.0
1,1,repair,6,39,0.0
1,1,repair,21,39,0.0
1,1,repair,18,39,0.0
1,1,repair,31,39,0.0
1,1,repair,20,39,0.0
1,1,repair,50,39,0.0
1,1,repair,43,39,0.0
1,1,repair,35,39,0.0
1,1,repair,16,39,0.0
1,1,repair,26,39,0.0
1,0,vacant,6,39,0.0
1,0,vacant,21,39,0.0
1,0,vacant,18,39,0.0
1,0,vacant,31,39,0.0
1,0,vacant,20,39,0.0
1,0,vacant,50,39,0.0
1,0,vacant,43,39,0.0
1,0,vacant,35,39,0.0
1,0,vacant,16,39,0.0
1,0,vacant,26,39,0.0
1,2,sell,6,39,0.0
1,2,sell,21,39,0.0
1,2,sell,18,39,0.0
1,2,sell,31,39,0.0
1,2,sell,20,39,0.0
1,2,sell,50,39,0.0
1,2,sell,43,39,0.0
1,2,sell,35,39,0.0
1,2,sell,16,39,0.0
1,2,sell,26,39,0.0
1,1,repair,18,40,0.0
1,1,repair,2,40,0.0
1,1,repair,19,40,0.1220989960240971
1,1,repair,22,40,0.0
1,1,repair,15,40,0.0
1,1,repair,45,40,0.0
1,1,repair,43,40,0.0
1,1,repair,21,40,0.0
1,1,repair,7,40,0.0
1,1,repair,1,40,0.0
1,1,repair,8,40,0.0
1,1,repair,26,40,0.0
1,1,repair,10,40,0.0
1,1,repair,20,40,0.0
1,1,repair,12,40,0.0
1,1,repair,41,40,0.0
1,0,vacant,18,40,0.0
1,0,vacant,2,40,0.0
1,0,vacant,19,40,0.0
1,0,vacant,22,40,0.0
1,0,vacant,15,40,0.0
1,0,vacant,45,40,0.0
1,0,vacant,43,40,0.0
1,0,vacant,21,40,0.0
1,0,vacant,7,40,0.0
1,0,vacant,1,40,0.0
1,0,vacant,8,40,0.0
1,0,vacant,26,40,0.0
1,0,vacant,10,40,0.0
1,0,vacant,20,40,0.0
1,0,vacant,12,40,0.0
1,0,vacant,41,40,0.0
1,2,sell,18,40,0.0
1,2,sell,2,40,0.0
1,2,sell,19,40,0.1220989960240971
1,2,sell,22,40,0.0
1,2,sell,15,40,0.10878325312653399
1,2,sell,45,40,0.0
1,2,sell,43,40,0.0
1,2,sell,21,40,0.0
1,2,sell,7,40,0.0
1,2,sell,1,40,0.0
1,2,sell,8,40,0.0
1,2,sell,26,40,0.0
1,2,sell,10,40,0.0
1,2,sell,20,40,0.0
1,2,sell,12,40,0.0
1,2,sell,41,40,0.0
1,1,repair,2,41,0.0
1,1,repair,37,41,0.0
1,1,repair,23,41,0.0
1,1,repair,42,41,0.0
1,1,repair,24,41,0.0
1,1,repair,5,41,0.0
1,1,repair,48,41,0.0
1,1,repair,12,41,0.0
1,1,repair,8,41,0.0
1,1,repair,30,41,0.0
